"work_zip","employer","employer_zip","diff_cases","total_cases","diff_pct","employer_lat","employer_long","employer_address","work_long","work_lat","work_address"
"07068","CAPGEMINI AMERICA INC","60606",4,1266,0.32,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-74.3176876,40.8267932,"Roseland, NJ 07068, USA"
"00918","DELOITTE & TOUCHE LLP","19103",1,353,0.28,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-66.0671709,18.4180126,"San Juan, 00918, Puerto Rico"
"01103","KPMG LLP","75201",1,198,0.51,32.7863301,-96.7962528,"Dallas, TX 75201, USA",-72.5929401,42.105218,"Springfield, MA 01103, USA"
"01111","COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","77845",1,268,0.37,30.5368372,-96.3013432,"College Station, TX 77845, USA",-72.5481187,42.117339,"Springfield, MA 01111, USA"
"01111","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-72.5481187,42.117339,"Springfield, MA 01111, USA"
"01460","IBM CORPORATION","27709",9,227,3.96,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.4893013,42.5295344,"Littleton, MA 01460, USA"
"01570","IBM INDIA PRIVATE LIMITED","27709",2,676,0.3,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.845274,42.0542919,"Webster, MA 01570, USA"
"01581","UST GLOBAL INC.","92656",2,357,0.56,33.5714289,-117.7314729,"Aliso Viejo, CA 92656, USA",-71.6080009,42.2638905,"Westborough, MA 01581, USA"
"01581","HCL AMERICA, INC.","94085",1,799,0.13,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.6080009,42.2638905,"Westborough, MA 01581, USA"
"01581","DELOITTE & TOUCHE LLP","19103",1,353,0.28,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.6080009,42.2638905,"Westborough, MA 01581, USA"
"01653","NTT DATA, INC.","02129",1,150,0.67,42.3795409,-71.0646337,"Charlestown, MA 02129, USA",-71.783748,42.2922317,"Worcester, MA 01653, USA"
"01701","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.4536835,42.3240042,"Framingham, MA 01701, USA"
"01701","CAPGEMINI AMERICA INC","60606",2,1266,0.16,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.4536835,42.3240042,"Framingham, MA 01701, USA"
"01701","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.4536835,42.3240042,"Framingham, MA 01701, USA"
"01701","WIPRO LIMITED","08816",2,833,0.24,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.4536835,42.3240042,"Framingham, MA 01701, USA"
"01702","CIBER, INC.","80111",1,101,0.99,39.6166715,-104.8746508,"Englewood, CO 80111, USA",-71.4358733,42.2781628,"Framingham, MA 01702, USA"
"01702","HCL AMERICA, INC.","94085",5,799,0.63,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.4358733,42.2781628,"Framingham, MA 01702, USA"
