MSN,YYYYMM,Value,Column_Order,Description,Unit
CLTCBUS,194913,11.980905,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195013,12.347109,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195113,12.552996,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195213,11.306479,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195313,11.372684,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195413,9.714667,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195513,11.167259,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195613,11.349723,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195713,10.820631,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195813,9.533287,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,195913,9.518353,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196013,9.837785,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196113,9.623351,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196213,9.906454,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196313,10.412538,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196413,10.964385,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196513,11.580608,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196613,12.14308,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196713,11.91375,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196813,12.330677,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,196913,12.38154,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197013,12.264528,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197113,11.598411,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197213,12.076917,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197301,1.166191,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197302,1.050588,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197303,1.046856,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197304,.998979,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197305,1.014502,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197306,1.050077,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197307,1.110438,"1","Coal Consumption","Quadrillion Btu"
CLTCBUS,197308,1.135679,"1","Coal Consumption","Quadrillion Btu"
