state,id
DE,delaware
PA,pennsylvania
NJ,new jersey
GA,georgia
CT,connecticut
MA,massachusetts
MD,maryland
SC,south carolina
NH,new hampshire
VA,virginia
NY,new york
NC,north carolina
RI,rhode island
VT,vermont
KY,kentucky
TN,tennessee
OH,ohio
LA,louisiana
IN,indiana
MS,mississippi
IL,illinois
AL,alabama
ME,maine
MO,missouri
AR,arkansas
MI,michigan
FL,florida
TX,texas
IA,iowa
WI,wisconsin
CA,california
MN,minnesota
OR,oregon
KS,kansas
WV,west virginia
NV,nevada
NE,nebraska
CO,colorado
ND,north dakota
SD,south dakota
MT,montana
WA,washington
ID,idaho
WY,wyoming
UT,utah
OK,oklahoma
NM,new mexico
AZ,arizona
AK,alaska
HI,hawaii
