Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2015,AK,Total Electric Industry,"2,044,184","2,763,491","1,351,529",0,NA,"6,159,204"
2015,AL,Total Electric Industry,"31,908,530","23,437,831","33,499,182",0,NA,"88,845,543"
2015,AR,Total Electric Industry,"18,273,389","12,153,236","16,038,092",437,NA,"46,465,154"
2015,AZ,Total Electric Industry,"33,167,205","29,284,431","14,891,564","6,216",NA,"77,349,416"
2015,CA,Total Electric Industry,"89,386,373","118,384,093","52,562,210","837,761",NA,"261,170,437"
2015,CO,Total Electric Industry,"18,384,936","20,408,085","15,258,761","64,264",NA,"54,116,046"
2015,CT,Total Electric Industry,"12,892,862","12,958,570","3,432,002","192,721",NA,"29,476,155"
2015,DC,Total Electric Industry,"2,497,559","8,221,610","238,232","333,832",NA,"11,291,233"
2015,DE,Total Electric Industry,"4,848,998","4,219,085","2,430,122",0,NA,"11,498,205"
2015,FL,Total Electric Industry,"122,759,472","95,847,051","16,897,415","95,460",NA,"235,599,398"
2015,GA,Total Electric Industry,"56,421,650","47,151,316","32,134,396","170,853",NA,"135,878,215"
2015,HI,Total Electric Industry,"2,641,336","3,174,462","3,695,554",0,NA,"9,511,352"
2015,IA,Total Electric Industry,"13,786,328","12,071,781","21,289,184",0,NA,"47,147,293"
2015,ID,Total Electric Industry,"8,054,693","6,263,642","8,740,479",0,NA,"23,058,814"
2015,IL,Total Electric Industry,"44,645,638","50,319,815","43,130,671","523,846",NA,"138,619,970"
2015,IN,Total Electric Industry,"32,441,693","24,021,689","48,030,120","21,016",NA,"104,514,518"
2015,KS,Total Electric Industry,"13,241,682","15,380,339","11,227,106",0,NA,"39,849,127"
2015,KY,Total Electric Industry,"26,168,093","19,589,209","30,281,328",0,NA,"76,038,630"
2015,LA,Total Electric Industry,"31,545,313","24,996,178","35,123,169","11,829",NA,"91,676,489"
2015,MA,Total Electric Industry,"20,175,317","26,200,307","7,892,165","353,299",NA,"54,621,088"
2015,MD,Total Electric Industry,"27,403,336","29,959,115","3,883,315","535,953",NA,"61,781,719"
2015,ME,Total Electric Industry,"4,662,301","4,017,822","3,208,045",0,NA,"11,888,168"
2015,MI,Total Electric Industry,"33,357,876","38,440,734","30,677,019","4,292",NA,"102,479,921"
2015,MN,Total Electric Industry,"21,713,970","23,388,015","21,453,040","24,209",NA,"66,579,234"
2015,MO,Total Electric Industry,"33,911,760","30,535,443","17,036,256","20,622",NA,"81,504,081"
2015,MS,Total Electric Industry,"18,561,101","14,391,682","15,738,746",0,NA,"48,691,529"
2015,MT,Total Electric Industry,"4,825,213","4,894,095","4,487,603",0,NA,"14,206,911"
2015,NC,Total Electric Industry,"57,901,557","48,236,147","27,701,168","8,651",NA,"133,847,523"
2015,ND,Total Electric Industry,"4,862,542","6,278,868","6,987,538",0,NA,"18,128,948"
2015,NE,Total Electric Industry,"9,532,132","9,307,834","10,655,107",0,NA,"29,495,073"
2015,NH,Total Electric Industry,"4,526,948","4,491,173","1,981,028",0,NA,"10,999,149"
2015,NJ,Total Electric Industry,"29,142,283","38,722,730","7,320,398","304,212",NA,"75,489,623"
2015,NM,Total Electric Industry,"6,641,724","8,877,046","7,574,783",0,NA,"23,093,553"
2015,NV,Total Electric Industry,"12,338,538","9,613,997","14,058,811","8,344",NA,"36,019,690"
2015,NY,Total Electric Industry,"51,012,745","77,005,625","18,079,200","2,816,085",NA,"148,913,655"
2015,OH,Total Electric Industry,"51,492,954","47,123,923","50,556,675","39,672",NA,"149,213,224"
2015,OK,Total Electric Industry,"22,615,824","20,691,105","18,029,456",0,NA,"61,336,385"
2015,OR,Total Electric Industry,"18,269,007","16,021,066","12,949,776","24,125",NA,"47,263,974"
2015,PA,Total Electric Industry,"54,418,663","43,745,173","47,404,272","775,920",NA,"146,344,028"
2015,RI,Total Electric Industry,"3,135,506","3,704,812","798,532","25,868",NA,"7,664,718"
2015,SC,Total Electric Industry,"30,059,188","21,927,007","29,342,051",0,NA,"81,328,246"
2015,SD,Total Electric Industry,"4,571,325","4,748,637","2,782,017",0,NA,"12,101,979"
2015,TN,Total Electric Industry,"41,667,411","34,981,552","22,983,145",0,NA,"99,632,108"
2015,TX,Total Electric Industry,"145,651,913","136,323,562","110,182,265","179,614",NA,"392,337,354"
2015,UT,Total Electric Industry,"9,117,153","11,614,593","9,404,984","55,620",NA,"30,192,350"
2015,VA,Total Electric Industry,"45,928,411","48,347,037","17,537,165","196,432",NA,"112,009,045"
2015,VT,Total Electric Industry,"2,088,940","2,010,568","1,421,601",0,NA,"5,521,109"
2015,WA,Total Electric Industry,"34,071,987","29,266,512","26,772,299","5,288",NA,"90,116,086"
2015,WI,Total Electric Industry,"21,214,787","23,514,103","23,969,851",191,NA,"68,698,932"
2015,WV,Total Electric Industry,"11,437,451","7,800,740","13,064,835",0,NA,"32,303,026"
2015,WY,Total Electric Industry,"2,676,702","3,924,590","10,323,470",0,NA,"16,924,762"
2015,US,Total Electric Industry,"1,404,096,499","1,360,751,527","986,507,732","7,636,632",NA,"3,758,992,390"
2015,AK,Full-Service Providers,"2,044,184","2,763,491","1,351,529",0,NA,"6,159,204"
2015,AL,Full-Service Providers,"31,908,530","23,437,831","33,499,182",0,NA,"88,845,543"
2015,AR,Full-Service Providers,"18,273,389","12,153,236","16,038,092",437,NA,"46,465,154"
2015,AZ,Full-Service Providers,"33,167,205","29,284,431","14,891,564","6,216",NA,"77,349,416"
2015,CA,Full-Service Providers,"87,605,282","102,212,180","42,063,251","467,076",NA,"232,347,789"
2015,CO,Full-Service Providers,"18,384,936","20,408,085","15,258,761","64,264",NA,"54,116,046"
2015,CT,Full-Service Providers,"8,364,427","3,287,704","825,659",0,NA,"12,477,790"
2015,DC,Full-Service Providers,"1,921,122","1,319,954",0,0,NA,"3,241,076"
2015,DE,Full-Service Providers,"4,506,411","1,736,609","899,424",0,NA,"7,142,444"
2015,FL,Full-Service Providers,"122,759,472","95,847,051","16,897,415","95,460",NA,"235,599,398"
2015,GA,Full-Service Providers,"56,421,650","47,151,316","32,134,396","170,853",NA,"135,878,215"
2015,HI,Full-Service Providers,"2,641,336","3,174,462","3,695,554",0,NA,"9,511,352"
2015,IA,Full-Service Providers,"13,786,328","12,071,781","21,289,184",0,NA,"47,147,293"
2015,ID,Full-Service Providers,"8,054,693","6,263,642","8,740,479",0,NA,"23,058,814"
2015,IL,Full-Service Providers,"23,198,272","15,759,797","6,589,530",0,NA,"45,547,599"
2015,IN,Full-Service Providers,"32,441,693","24,021,689","48,030,120","21,016",NA,"104,514,518"
2015,KS,Full-Service Providers,"13,241,682","15,380,339","11,227,106",0,NA,"39,849,127"
2015,KY,Full-Service Providers,"26,168,093","19,589,209","30,281,328",0,NA,"76,038,630"
2015,LA,Full-Service Providers,"31,545,313","24,996,178","35,123,169","11,829",NA,"91,676,489"
2015,MA,Full-Service Providers,"15,597,608","7,618,989","3,184,725",33,NA,"26,401,355"
2015,MD,Full-Service Providers,"21,554,710","7,086,086","483,656",0,NA,"29,124,452"
2015,ME,Full-Service Providers,"3,724,880","1,754,606","246,881",0,NA,"5,726,367"
2015,MI,Full-Service Providers,"33,357,369","34,390,546","25,422,702","4,292",NA,"93,174,909"
2015,MN,Full-Service Providers,"21,713,970","23,388,015","21,453,040","24,209",NA,"66,579,234"
2015,MO,Full-Service Providers,"33,911,760","30,535,443","17,036,256","20,622",NA,"81,504,081"
2015,MS,Full-Service Providers,"18,561,101","14,391,682","15,738,746",0,NA,"48,691,529"
2015,MT,Full-Service Providers,"4,825,207","4,753,145","1,906,663",0,NA,"11,485,015"
2015,NC,Full-Service Providers,"57,901,557","48,236,147","27,701,168","8,651",NA,"133,847,523"
2015,ND,Full-Service Providers,"4,862,542","6,278,868","6,987,538",0,NA,"18,128,948"
2015,NE,Full-Service Providers,"9,532,132","9,307,834","10,655,107",0,NA,"29,495,073"
