Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Denver Nuggets,44.48,11.99,15.13,28.09,0.31,12.26,12.35,9.85,10.19,14.11,14.18,2014-2015,REG,82
Detroit Pistons,48.49,9.67,12.81,28.7,0.33,11.77,12.03,9.61,9.94,13.41,13.78,2014-2015,REG,82
Golden State Warriors,39.38,14.17,15.41,30.69,0.35,13.08,12.52,10.94,10.37,15.03,14.13,2014-2015,REG,82
Houston Rockets,46.31,7.65,6.73,39.06,0.25,12.71,12.25,10.03,9.73,14.85,14.26,2014-2015,REG,82
Indiana Pacers,37.81,14.46,22.23,25.22,0.28,13,12.61,11.21,10.68,14.4,14.1,2014-2015,REG,82
Los Angeles Clippers,33.97,11.91,21.91,32.03,0.18,14.14,12.98,12,10.84,16.06,14.68,2014-2015,REG,82
Los Angeles Lakers,38.58,16.1,23.3,21.89,0.13,12.54,12.14,10.34,9.83,14.23,14.16,2014-2015,REG,82
Memphis Grizzlies,46.43,17.3,17.92,18.02,0.33,10.95,12.82,8.91,10.6,12.68,14.58,2014-2015,REG,82
Miami Heat,40.09,15.34,18.37,25.89,0.3,12.38,12.48,9.95,10.18,14.41,14.4,2014-2015,REG,82
Milwaukee Bucks,44.86,13.63,19.21,22.2,0.1,11.4,12.21,9.49,9.95,13.02,13.96,2014-2015,REG,82
Minnesota Timberwolves,43.05,15.53,23.5,17.73,0.19,11.6,12.22,9.5,9.66,13.23,14.64,2014-2015,REG,82
New Orleans Pelicans,46.64,13.1,16.93,23.06,0.27,11.42,11.46,9.6,9.15,12.96,13.4,2014-2015,REG,82
New York Knicks,35.82,15.54,24.65,23.73,0.27,13.27,12.2,11.61,10.33,14.51,13.79,2014-2015,REG,82
Oklahoma City Thunder,43.3,14.14,16.42,25.98,0.16,11.93,12.1,9.73,9.96,13.71,13.78,2014-2015,REG,82
Orlando Magic,45.47,13.8,17.14,23.37,0.22,11.56,12.75,9.53,10.56,13.24,14.64,2014-2015,REG,82
Philadelphia 76ers,47.15,9.25,11.75,31.59,0.27,12.22,12.14,9.64,10.04,14,13.84,2014-2015,REG,82
Phoenix Suns,39.64,16.01,15.26,28.77,0.33,12.61,11.88,10.17,9.65,14.61,13.71,2014-2015,REG,82
Portland Trailblazers,35.47,13.95,18.96,31.41,0.21,13.74,11.97,11.47,10.04,15.59,13.49,2014-2015,REG,82
Sacramento Kings,48.18,13.14,18.19,20.28,0.22,11.05,12.91,9.03,10.51,12.75,14.93,2014-2015,REG,82
San Antonio Spurs,43.01,15.28,14.78,26.78,0.15,12.05,11.67,10,9.83,13.86,13.14,2014-2015,REG,82
Toronto Raptors,41.43,13.82,14.52,30.05,0.18,12.77,12.2,10.45,10.02,14.71,14.05,2014-2015,REG,82
Utah Jazz,43.59,12.93,16.01,27.17,0.29,12.19,12.34,9.64,10.46,14.25,13.85,2014-2015,REG,82
Washington Wizards,39.57,17.11,22.96,20.16,0.19,12.11,13.01,9.94,11.01,13.97,14.55,2014-2015,REG,82
Atlanta Hawks,39.91,13.98,14.48,31.43,0.19,12.91,12.48,10.83,10.44,14.67,14.22,2013-2014,REG,82
Brooklyn Nets,38.48,15.45,16.01,29.69,0.38,13.09,12.47,11.1,10.43,14.78,14.2,2013-2014,REG,82
Boston Celtics,39.44,13.56,21.89,24.89,0.22,12.77,11.66,10.76,9.44,14.32,13.58,2013-2014,REG,82
Charlotte Bobcats,40.81,15.55,21.82,21.55,0.27,12.15,12.59,9.99,10.85,13.87,13.98,2013-2014,REG,82
Chicago Bulls,42.04,13.61,22.17,21.83,0.35,12.18,12.6,10.37,10.68,13.57,14.05,2013-2014,REG,82
Cleveland Cavaliers,40.65,16.09,19.69,23.22,0.35,12.3,13.21,10.57,11.03,13.64,15.01,2013-2014,REG,82
Dallas Mavericks,38.08,17.25,17.3,27.13,0.25,12.77,12.36,10.87,10.04,14.49,14.37,2013-2014,REG,82
Denver Nuggets,46.46,10.71,15,27.51,0.33,12.02,11.92,9.77,9.87,13.83,13.65,2013-2014,REG,82
Detroit Pistons,52.27,9.84,15.72,21.83,0.34,10.66,12.1,7.95,9.94,12.84,14.02,2013-2014,REG,82
Golden State Warriors,40.06,13.99,16.87,28.78,0.3,12.93,12.59,10.94,10.59,14.64,14.13,2013-2014,REG,82
Houston Rockets,52.38,8.06,6.59,32.8,0.17,11.46,12.41,8.9,10.26,13.75,14.12,2013-2014,REG,82
Indiana Pacers,39.71,16.36,20.48,23.17,0.27,12.49,12.53,10.73,10.98,13.93,13.66,2013-2014,REG,82
Los Angeles Clippers,37.79,12.38,20.83,28.83,0.18,13.31,12.13,10.78,9.68,15.61,14.06,2013-2014,REG,82
Los Angeles Lakers,39.17,14.88,16.89,28.96,0.09,13.03,11.96,11.15,9.74,14.58,13.92,2013-2014,REG,82
Memphis Grizzlies,48.24,15.6,19.1,16.78,0.28,10.78,12.67,8.9,10.67,12.41,14.31,2013-2014,REG,82
Miami Heat,42.53,11.53,16.76,29.05,0.13,12.28,12.46,9.59,10.18,14.98,14.39,2013-2014,REG,82
Milwaukee Bucks,44.96,13.82,18.17,22.94,0.1,11.62,12.07,9.82,10.15,13.03,13.77,2013-2014,REG,82
Minnesota Timberwolves,45.4,12.74,17.4,24.25,0.21,11.63,12.26,9.21,9.97,13.56,14.3,2013-2014,REG,82
New Orleans Pelicans,47.92,14.35,18.46,18.92,0.35,10.99,12.16,9.34,9.74,12.38,14.26,2013-2014,REG,82
New York Knicks,34.23,13.28,22.21,29.9,0.37,13.91,12.51,11.98,10.46,15.49,14.24,2013-2014,REG,82
Oklahoma City Thunder,39.88,16.3,16.71,26.85,0.27,12.48,12.44,10.3,10.54,14.43,13.92,2013-2014,REG,82
Orlando Magic,39.21,14.1,23.19,23.25,0.25,12.63,12.93,10.78,10.97,14.12,14.58,2013-2014,REG,82
Philadelphia 76ers,51.3,11.75,11.14,25.53,0.28,10.91,12.6,8.48,10.25,12.78,14.7,2013-2014,REG,82
Phoenix Suns,40.23,15.46,14.31,29.77,0.23,12.6,11.72,10.47,9.49,14.44,13.59,2013-2014,REG,82
Portland Trailblazers,36.09,14.1,20.75,28.89,0.17,13.4,11.53,11.52,9.83,14.94,12.94,2013-2014,REG,82
Sacramento Kings,44.99,14.44,18.77,21.64,0.16,11.78,12.78,9.67,10.63,13.49,14.62,2013-2014,REG,82
San Antonio Spurs,43.3,12.98,18.06,25.46,0.2,12.08,11.94,10.11,10.11,13.94,13.39,2013-2014,REG,82
Toronto Raptors,39.35,14.1,18.03,28.31,0.21,13.07,11.73,11.17,9.73,14.6,13.37,2013-2014,REG,82
Utah Jazz,41.94,14.5,19.88,23.31,0.38,12.24,11.74,9.94,9.66,14.07,13.6,2013-2014,REG,82
Washington Wizards,38.8,14.54,22.04,24.41,0.2,12.73,12.61,10.51,10.27,14.61,14.6,2013-2014,REG,82
Atlanta Hawks,40.43,10.19,20.77,28.42,0.2,12.95,12.26,10.6,10.51,14.98,13.7,2012-2013,REG,82
Brooklyn Nets,43.28,14.49,15.36,26.66,0.2,12.16,11.87,10.23,9.86,13.73,13.62,2012-2013,REG,82
Boston Celtics,38.49,16.1,23.88,21.15,0.37,12.39,11.85,10.63,9.45,13.92,13.74,2012-2013,REG,81
Charlotte Bobcats,43,14.78,21.18,20.77,0.27,11.71,12.07,9.74,10,13.16,13.92,2012-2013,REG,82
Chicago Bulls,41.68,16.84,22.59,18.63,0.25,11.73,12.12,9.75,10.04,13.27,13.77,2012-2013,REG,82
Cleveland Cavaliers,42.5,15.82,18.77,22.74,0.17,11.89,12.13,10.18,9.9,13.19,14.16,2012-2013,REG,82
Dallas Mavericks,37.74,20.43,18.2,23.33,0.3,12.55,12.28,10.81,10.33,14.04,13.84,2012-2013,REG,82
Denver Nuggets,55.74,11.02,11.53,21.37,0.34,9.86,12.37,7.27,10.71,12.24,13.7,2012-2013,REG,82
Detroit Pistons,51.3,10.09,16.9,21.41,0.3,10.61,12.02,8.45,9.67,12.38,14.02,2012-2013,REG,82
Golden State Warriors,37.11,16.15,22.88,23.55,0.31,13,13.14,11.51,10.93,14.27,14.87,2012-2013,REG,82
Houston Rockets,47.18,7.34,10.56,34.74,0.18,12.3,12.71,9.84,10.65,14.41,14.43,2012-2013,REG,82
Indiana Pacers,42.18,15.53,17.8,24.13,0.37,12.23,12.32,10.11,10.76,13.88,13.45,2012-2013,REG,81
Los Angeles Clippers,42.63,11.38,19.5,26.32,0.17,12.53,12.82,10.07,10.87,14.78,14.37,2012-2013,REG,82
Los Angeles Lakers,42.37,11.6,15.74,29.99,0.3,12.84,12.39,10.56,10.24,14.76,14.18,2012-2013,REG,82
Memphis Grizzlies,45.59,16.87,20.96,16.38,0.19,11.04,12.26,9.38,10.01,12.36,13.99,2012-2013,REG,82
Miami Heat,38.83,13.55,19.15,28.3,0.17,12.72,12.33,10.52,10.24,14.89,13.97,2012-2013,REG,82
Milwaukee Bucks,43.65,14.88,18.26,23.08,0.13,11.72,10.97,9.83,8.99,13.18,12.63,2012-2013,REG,82
Minnesota Timberwolves,44.15,11.19,22.62,21.86,0.18,11.81,12.35,9.44,10.05,13.66,14.36,2012-2013,REG,82
New Orleans Hornets,46.29,13.84,17.5,22.11,0.26,11.59,11.78,9.77,9.83,13.08,13.51,2012-2013,REG,82
New York Knicks,35.73,10.09,18.7,34.98,0.49,14.15,12.6,12.1,10.25,15.82,14.59,2012-2013,REG,82
Oklahoma City Thunder,40.32,16.7,18.56,24.2,0.22,12.11,12.06,9.98,10.05,14.08,13.55,2012-2013,REG,82
Orlando Magic,41.85,15.3,20.6,22.15,0.12,12.09,12.42,9.83,10.33,13.93,14.23,2012-2013,REG,82
Philadelphia 76ers,38.47,17.84,22.85,20.67,0.17,12.25,12.19,10.43,10.16,13.71,13.89,2012-2013,REG,82
Phoenix Suns,40.03,15.25,23.68,20.79,0.25,12.25,11.45,10.06,9.68,13.98,13.02,2012-2013,REG,82
Portland Trailblazers,37.99,12.54,21.14,28.11,0.22,13.12,11.52,10.92,9.2,14.9,13.61,2012-2013,REG,82
Sacramento Kings,47.03,11.43,17.19,24.09,0.26,11.72,12.28,9.62,9.89,13.43,14.42,2012-2013,REG,82
San Antonio Spurs,43.75,13.56,16.27,26.19,0.22,11.98,11.91,9.93,10.25,13.88,13.22,2012-2013,REG,82
Toronto Raptors,37.76,15.41,21.94,24.74,0.15,13.03,11.76,10.76,9.63,14.86,13.57,2012-2013,REG,82
Utah Jazz,42.52,14.52,22.32,20.37,0.27,11.98,11.73,9.92,9.86,13.69,13.32,2012-2013,REG,82
Washington Wizards,37.66,18.44,21.58,22.12,0.21,12.6,12.76,10.79,10.64,13.99,14.42,2012-2013,REG,82
Atlanta Hawks,40.03,10.42,24.68,24.68,0.19,12.76,12.08,10.59,9.87,14.57,13.84,2011-2012,REG,66
Boston Celtics,36.28,17.72,26.58,19.31,0.12,12.41,11.52,10.7,9.17,13.87,13.22,2011-2012,REG,66
Charlotte Bobcats,38.84,13.43,30.87,16.59,0.26,12.3,10.89,10.04,8.72,13.9,12.86,2011-2012,REG,66
Chicago Bulls,40.93,14.61,24.02,20.12,0.31,12.1,11.92,10.24,10.01,13.64,13.32,2011-2012,REG,66
Cleveland Cavaliers,48.2,11.49,16.67,23.53,0.09,11.21,11.78,9.1,9.61,12.76,13.67,2011-2012,REG,66
Dallas Mavericks,36.34,19.15,17.43,26.85,0.23,12.9,12.55,10.83,10.29,14.55,14.29,2011-2012,REG,66
Denver Nuggets,53.16,10.11,12.49,23.84,0.41,10.53,12.84,7.92,11.11,12.9,14.3,2011-2012,REG,66
Detroit Pistons,46.79,14.09,21.62,17.2,0.31,10.92,11.94,9.04,9.65,12.39,13.9,2011-2012,REG,66
Golden State Warriors,39.48,12.13,23.55,24.6,0.24,12.89,12.01,11.23,10.11,14.29,13.59,2011-2012,REG,66
Houston Rockets,40.4,16.76,18.86,23.82,0.16,12.25,11.74,10.38,9.4,13.78,13.69,2011-2012,REG,66
Indiana Pacers,44.98,16.6,18.65,19.56,0.22,11.37,12.39,9.79,10.39,12.6,13.92,2011-2012,REG,66
Los Angeles Clippers,38.58,11.18,23.41,26.6,0.23,13.26,12.71,11.01,10.52,15.13,14.48,2011-2012,REG,66
Los Angeles Lakers,42.38,16.28,20.44,20.67,0.23,12.02,12.55,9.87,10.64,13.82,14.04,2011-2012,REG,66
Memphis Grizzlies,44.61,17.83,21.89,15.2,0.46,11.18,12.04,9.06,9.76,12.9,13.86,2011-2012,REG,66
Miami Heat,41.81,16.62,21.8,19.69,0.1,11.58,12.44,9.49,10.66,13.42,13.8,2011-2012,REG,66
Milwaukee Bucks,42.05,15.45,20.21,22.13,0.16,11.86,11.63,9.79,9.68,13.49,13.22,2011-2012,REG,66
Minnesota Timberwolves,43.42,11.84,18.57,26.01,0.17,12.17,12.1,9.88,9.85,13.92,13.98,2011-2012,REG,66
New Jersey Nets,35.81,15.71,20.64,27.67,0.17,13.3,11.86,11.51,9.76,14.62,13.75,2011-2012,REG,66
New Orleans Hornets,43.13,19.17,22.48,15.15,0.08,11.28,12.29,9.6,9.67,12.65,14.38,2011-2012,REG,66
New York Knicks,42.04,11.04,18.09,28.58,0.24,12.53,12.18,9.95,10.14,14.59,13.79,2011-2012,REG,66
Oklahoma City Thunder,41.17,16.12,17.48,25,0.23,12.1,11.47,9.9,9.5,14.07,12.94,2011-2012,REG,66
Orlando Magic,41.64,8.58,14.94,34.6,0.24,13.39,12.64,11.07,10.74,15.21,14.19,2011-2012,REG,65
Philadelphia 76ers,36.88,23.18,22.59,17.14,0.21,12.06,12.13,10.36,10.25,13.42,13.52,2011-2012,REG,65
Phoenix Suns,37.83,15.81,22.5,23.62,0.24,12.79,12.02,10.56,9.92,14.67,13.77,2011-2012,REG,66
Portland Trailblazers,40.89,12.02,21.58,25.2,0.31,12.51,12.03,10.43,9.92,14.17,13.85,2011-2012,REG,66
Sacramento Kings,49.34,10.79,17.12,22.45,0.3,11.26,11.81,8.83,9.49,13.12,13.92,2011-2012,REG,66
San Antonio Spurs,43.43,14.43,16.36,25.65,0.13,11.96,12.15,10.09,10.37,13.66,13.61,2011-2012,REG,66
Toronto Raptors,39.08,13.76,26.31,20.61,0.25,12.62,12.13,10.33,10.01,14.43,13.76,2011-2012,REG,66
Utah Jazz,47.19,16.97,20.53,15.01,0.29,10.71,12.01,8.37,9.91,12.67,13.75,2011-2012,REG,66
Washington Wizards,43.24,14.44,22.73,19.41,0.18,11.68,11.97,9.26,10,13.59,13.59,2011-2012,REG,66
Atlanta Hawks,36.76,13.69,27.36,21.98,0.2,13.03,12.33,11.16,10.21,14.64,14.14,2010-2011,REG,82
Boston Celtics,42.11,14.52,25.37,17.86,0.13,11.58,12.05,9.55,10.03,13.5,13.61,2010-2011,REG,82
Charlotte Bobcats,45.33,12.32,23.46,18.56,0.33,11.46,12.28,9.43,10.23,13.14,14,2010-2011,REG,82
Chicago Bulls,42.96,12.63,22.82,21.22,0.37,12.07,12.47,10,10.44,13.84,14,2010-2011,REG,82
Cleveland Cavaliers,43.51,13.77,20.29,22.27,0.17,11.85,12.15,9.87,10.43,13.37,13.7,2010-2011,REG,82
Dallas Mavericks,35.7,17.1,19.85,27.05,0.31,13.12,12.18,11.11,9.85,14.94,14.1,2010-2011,REG,82
Denver Nuggets,46.33,9.34,18.61,25.45,0.27,11.83,12.78,9.86,10.51,13.62,14.71,2010-2011,REG,82
Detroit Pistons,42.12,16.85,22.15,18.6,0.29,11.48,11.83,9.59,9.43,13.08,14.1,2010-2011,REG,82
Golden State Warriors,40.96,12.74,21.41,24.58,0.32,12.56,11.87,10.71,9.84,14.14,13.64,2010-2011,REG,82
Houston Rockets,41.92,13.93,17.75,26.14,0.26,12.4,11.54,10.46,9.63,14.01,13.22,2010-2011,REG,82
Indiana Pacers,39.15,15.18,21.32,24.14,0.21,12.7,12.37,10.78,10.63,14.22,13.79,2010-2011,REG,82
Los Angeles Clippers,47.77,10.92,18.42,22.58,0.31,11.57,12.54,9.04,10.4,13.71,14.32,2010-2011,REG,82
Los Angeles Lakers,42.08,16.08,19.91,21.56,0.37,12.22,12.67,9.96,10.63,14.17,14.25,2010-2011,REG,82
Memphis Grizzlies,50.52,15.5,20.36,13.2,0.41,10.27,12.38,8.2,10.31,12.12,14.12,2010-2011,REG,82
Miami Heat,36.11,13.62,26.72,23.34,0.21,13.22,12.31,11.12,10.45,15.16,13.73,2010-2011,REG,82
Milwaukee Bucks,39.71,16.05,22.63,21.43,0.18,12.29,12,10.53,9.95,13.62,13.65,2010-2011,REG,82
Minnesota Timberwolves,42.66,14.6,20.4,21.9,0.44,12.24,12.6,10.59,10.5,13.54,14.45,2010-2011,REG,82
New Jersey Nets,40.15,17.18,22.54,19.8,0.34,12.25,12.01,10.5,10.21,13.62,13.57,2010-2011,REG,82
New Orleans Hornets,39.45,17.67,23.68,18.89,0.31,12.27,12.76,10.7,10.45,13.61,14.71,2010-2011,REG,82
New York Knicks,40.13,11.68,17.88,30.1,0.21,13.05,11.39,10.94,9.7,14.83,12.91,2010-2011,REG,82
Oklahoma City Thunder,41.3,15.76,21.71,21.02,0.21,11.97,11.26,9.69,9.24,13.95,12.97,2010-2011,REG,82
Orlando Magic,38.06,12.75,16.41,32.41,0.37,13.58,13.04,11.25,11.12,15.58,14.53,2010-2011,REG,82
Philadelphia 76ers,39.05,21.16,21.28,18.27,0.24,11.95,11.97,10.06,9.96,13.56,13.61,2010-2011,REG,82
Phoenix Suns,38.31,15.3,19.26,26.88,0.25,12.89,12.41,10.66,10.42,14.87,14.18,2010-2011,REG,82
Portland Trailblazers,41.6,15.03,20.58,22.42,0.36,12.13,11.94,9.84,10.02,13.98,13.62,2010-2011,REG,82
Sacramento Kings,44.92,14.69,22.12,17.9,0.37,11.5,11.65,9.35,9.69,13.25,13.45,2010-2011,REG,82
San Antonio Spurs,41.43,15.8,16.74,25.9,0.14,12.17,12,10.37,10.28,13.79,13.44,2010-2011,REG,82
Toronto Raptors,44.5,14.86,24.49,15.88,0.27,11.3,11.35,9.16,9.18,13.16,13.36,2010-2011,REG,82
Utah Jazz,43.34,15.54,22.03,18.8,0.29,11.59,12.24,9.55,10.36,13.36,13.83,2010-2011,REG,82
Washington Wizards,41.58,16.58,24.67,16.97,0.2,11.7,11.81,9.6,9.67,13.38,13.71,2010-2011,REG,82
Atlanta Hawks,42.54,12.43,23.67,21.09,0.28,11.85,11.53,9.66,9.44,13.77,13.31,2009-2010,REG,82
Boston Celtics,44.56,14,18.63,22.57,0.24,11.47,12.08,9.23,10.06,13.57,13.73,2009-2010,REG,82
Charlotte Bobcats,48.1,10.53,20.27,20.76,0.33,10.73,12.12,8.43,9.78,12.64,14.02,2009-2010,REG,82
Chicago Bulls,40.09,14.33,29.97,15.43,0.18,11.5,12.29,9.64,10.21,13.04,13.93,2009-2010,REG,82
Cleveland Cavaliers,42.21,11.56,21.47,24.51,0.25,12.06,12.5,9.58,10.52,14.4,14.07,2009-2010,REG,82
Dallas Mavericks,36.72,18.34,22.85,21.85,0.24,12.33,12.16,10.67,10.02,13.78,13.97,2009-2010,REG,82
Denver Nuggets,42.68,12.85,21.74,22.46,0.27,11.7,11.99,9.4,9.72,13.72,13.89,2009-2010,REG,82
Detroit Pistons,39.83,19.2,22.95,17.77,0.24,11.46,12.13,9.38,10.03,13.12,14.07,2009-2010,REG,82
Golden State Warriors,38.07,12.53,25.61,23.5,0.28,12.86,11.51,10.73,9.42,14.73,13.48,2009-2010,REG,82
Houston Rockets,43.52,13.47,16.47,26.28,0.26,11.65,11.52,9.58,9.32,13.33,13.51,2009-2010,REG,82
Indiana Pacers,38.18,13.17,20.89,27.55,0.22,12.99,12.26,10.85,10.49,14.69,13.72,2009-2010,REG,82
Los Angeles Clippers,41.87,15.22,20.8,21.77,0.34,11.69,11.81,9.22,9.71,13.75,13.68,2009-2010,REG,82
Los Angeles Lakers,41.6,16.61,19.05,22.43,0.31,11.78,12.11,9.69,9.83,13.55,13.95,2009-2010,REG,82
Memphis Grizzlies,48.42,16.41,20.33,14.39,0.45,10.13,11.51,8.01,9.06,12.01,13.75,2009-2010,REG,82
Miami Heat,34.34,18.21,25.58,21.66,0.21,12.67,12.25,10.4,10.23,14.58,13.83,2009-2010,REG,82
Milwaukee Bucks,38.19,14.93,21.01,25.72,0.15,12.59,11.61,10.88,9.57,13.91,13.29,2009-2010,REG,82
Minnesota Timberwolves,42.11,19.98,20.82,16.69,0.39,11.07,12.31,8.94,9.88,12.8,14.55,2009-2010,REG,82
New Jersey Nets,42.58,16.62,22.67,17.92,0.22,11.03,10.94,8.9,8.87,12.63,12.84,2009-2010,REG,82
New Orleans Hornets,39.3,17.3,20.42,22.83,0.15,11.96,11.72,9.95,9.34,13.7,13.95,2009-2010,REG,82
New York Knicks,39.35,9.14,20.17,31.05,0.29,13.06,11.64,10.52,9.33,15.18,13.82,2009-2010,REG,82
Oklahoma City Thunder,42.57,16.61,22.27,18.45,0.11,11.11,10.95,8.99,8.66,12.93,12.79,2009-2010,REG,82
Orlando Magic,38.52,12.03,14.4,34.64,0.41,13.29,12.35,10.86,10.61,15.43,13.71,2009-2010,REG,82
Philadelphia 76ers,39.52,18.95,20.84,20.3,0.39,11.75,11.61,9.56,9.68,13.62,13.33,2009-2010,REG,82
Phoenix Suns,40.05,15.28,18.57,25.85,0.25,12.13,11.88,10.28,9.94,13.92,13.47,2009-2010,REG,82
Portland Trailblazers,35.55,17.45,25.49,21.04,0.46,12.52,11.77,10.34,9.37,14.39,13.86,2009-2010,REG,82
Sacramento Kings,45.1,12.9,21.96,19.8,0.25,11.21,11.39,9.11,9.22,12.97,13.29,2009-2010,REG,82
San Antonio Spurs,42.17,14.36,20.26,23.01,0.2,11.76,11.38,9.52,9.56,13.76,12.89,2009-2010,REG,82
Toronto Raptors,40.58,14.54,23.81,20.45,0.62,12.22,12,10.01,9.97,14.28,13.78,2009-2010,REG,82
Utah Jazz,47.53,12.11,22.01,18.14,0.21,10.57,12.02,8.36,9.71,12.71,13.9,2009-2010,REG,82
Washington Wizards,38.91,15.42,27.39,18.03,0.25,12.15,12.06,10.36,9.84,13.61,13.97,2009-2010,REG,82
Atlanta Hawks,38.22,14.58,21.93,24.96,0.31,12.84,12.4,10.62,10.22,14.72,14.21,2008-2009,REG,82
