seqID,gender,age,ethnicity,hhSize,hhChild,hhTeen,hhElder,hhIncomeAnnual
73557,Male,69,Black,3,0,0,2,4
73558,Male,54,White,4,0,2,0,7
73559,Male,72,White,2,0,0,2,10
73560,Male,9,White,4,0,2,0,9
73561,Female,73,White,2,0,0,2,15
73562,Male,56,Hispanic,1,0,0,0,9
73563,Male,0,White,3,1,0,0,15
73564,Female,61,White,1,0,0,1,10
73565,Male,42,Hispanic,4,1,1,0,15
73566,Female,56,White,7,3,0,0,4
73567,Male,65,White,1,0,0,1,3
73568,Female,26,White,3,0,0,0,15
73569,Female,0,Other,4,2,0,0,77
73570,Female,9,Other,4,0,3,0,5
73571,Male,76,White,2,0,0,2,14
73572,Female,10,Black,3,0,2,0,2
73573,Male,10,Black,5,1,2,0,8
73574,Female,33,Asian,4,1,1,0,8
73575,Male,1,Black,2,1,0,0,3
73576,Male,16,Black,6,2,2,0,8
73577,Male,32,Hispanic,7,3,2,0,5
73578,Male,18,Hispanic,7,0,2,2,5
73579,Female,12,White,4,0,2,0,10
73580,Female,38,Black,6,0,3,0,12
73581,Male,50,Asian,3,0,1,0,15
73582,Female,23,Black,3,1,0,0,3
73583,Female,7,White,3,0,1,0,15
73584,Male,13,White,3,0,1,0,9
73585,Male,28,Asian,2,0,0,0,7
73586,Female,4,Asian,4,2,0,0,6
73587,Male,14,Asian,7,1,1,0,15
73588,Male,11,Black,3,0,2,0,6
73589,Male,35,White,1,0,0,0,5
73590,Male,2,Hispanic,5,3,0,0,5
73591,Male,6,White,4,0,2,0,15
73592,Male,29,Hispanic,3,0,0,0,12
73593,Male,3,White,4,2,0,0,15
73594,Male,23,Hispanic,7,3,2,0,5
73595,Male,58,Hispanic,2,0,0,0,8
73596,Female,57,Asian,3,0,0,0,15
73597,Female,50,Black,2,0,0,0,15
73598,Male,20,Hispanic,6,1,1,0,NA
73599,Female,13,White,7,1,2,0,8
73600,Male,37,Black,6,0,3,0,5
73601,Male,12,Hispanic,4,0,2,0,14
73602,Male,3,Hispanic,4,2,0,0,NA
73603,Male,35,Asian,4,2,0,0,14
73604,Female,69,White,2,0,0,2,10
73605,Male,13,White,4,0,1,0,15
73606,Male,16,White,5,0,3,0,14
73607,Male,75,White,2,0,0,2,4
73608,Male,3,Asian,4,1,1,0,3
73609,Female,11,Hispanic,5,1,2,0,6
73610,Male,43,White,6,2,2,0,10
73611,Female,3,Hispanic,7,3,2,0,5
73612,Female,6,Asian,7,1,3,0,7
73613,Female,60,Black,6,0,1,1,15
73614,Female,55,White,2,0,0,0,5
73615,Female,65,Hispanic,1,0,0,1,3
73616,Female,62,White,2,0,0,1,15
