"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"OLYMPIA CAFE","MANHATTAN","LEXINGTON AVE",10022,"Delicatessen","05/30/2014","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",25,"B","05/30/2014","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9700467,40.7600127
"GUY & GALLARD","MANHATTAN","PARK AVENUE SOUTH",10016,"American","02/29/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",13,"A","02/29/2016","04/23/2017","Cycle Inspection / Re-inspection",-95.7834818,29.3438567
"LA BELLA VITA","MANHATTAN","MULBERRY STREET",10013,"Italian","05/28/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",22,"B","05/28/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9974059,40.7197962
"TAVOLA","MANHATTAN","9 AVENUE",10018,"Italian","08/29/2016","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",8,"A","08/29/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9945165,40.7554026
"MIKAKU","MANHATTAN","KENMARE ST",10012,"Japanese","03/27/2017","Violations were cited in the following area(s).","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical",12,"A","03/27/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9967653,40.7214425
"AU BON PAIN","MANHATTAN","ROCKEFELLER PLAZA",10112,"Sandwiches/Salads/Mixed Buffet","11/13/2014","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,"A","11/13/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9793374,40.7589632
"CHAMPION PIZZA","MANHATTAN","CLEVELAND PLACE",10012,"Pizza/Italian","05/11/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",21,"B","05/11/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9971286,40.7215687
"LUCISOUS THAI","MANHATTAN","1ST AVE",10065,"Thai","02/01/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",11,"A","02/01/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.961551,40.76048
"STARBUCKS","MANHATTAN","WEST   73 STREET",10023,"CafÃ©/Coffee/Tea","07/19/2013","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A","07/19/2013","04/23/2017","Cycle Inspection / Initial Inspection",-73.9782027,40.7778814
"ABUMI SUSHI","MANHATTAN","E 26TH ST",10010,"Japanese","02/29/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",16,"B","02/29/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9812413,40.7406419
"MUSTANG HARRY'S","MANHATTAN","SEVENTH AVENUE",10001,"American","11/02/2015","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",15,"B","11/02/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.992987,40.748333
"OFF THE WAGON","MANHATTAN","MACDOUGAL STREET",10012,"American","02/04/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","02/04/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.0007469,40.7298765
"SPIRIT OF NEW YORK","MANHATTAN","WEST 23 STREET - CHELSEA PIER",10011,"American","06/05/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","06/05/2014","04/23/2017","Cycle Inspection / Initial Inspection",-74.0074459,40.7494938
"FINO RISTORANTE","MANHATTAN","WALL STREET COURT",10005,"Italian","03/12/2014","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","03/12/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.00836,40.7053349
"HIGH LINE HOTEL","MANHATTAN","10TH AVE",10011,"American","11/05/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","11/05/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-74.0048919,40.7461268
"EDWARD'S","MANHATTAN","WEST BROADWAY",10013,"American","02/10/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A","02/10/2015","04/23/2017","Cycle Inspection / Re-inspection",-74.0083034,40.7169426
"VIA QUADRONNO","MANHATTAN","EAST   73 STREET",10021,"Italian","03/04/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",7,"A","03/04/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9651509,40.7727568
"GASTRONOMIE 491","MANHATTAN","8TH AVE",10019,"Italian","08/30/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",7,"A","08/30/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.9830144,40.7671243
"THE PIT AT PEOPLES IMPROV THEATER","MANHATTAN","EAST   24 STREET",10010,"American","06/18/2013","Violations were cited in the following area(s).","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical",12,"A","06/18/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.984726,40.7405658
