city,state,zipcode,county,employer_name,case_number
NEW YORK ,NEW YORK ,10017 ,NEW YORK ,"WINTEK SOLUTIONS, INC. ",I-200-16312-960466 
NEW YORK ,NEW YORK ,10017 ,NEW YORK ,"WINTEK SOLUTIONS, INC. ",I-200-16295-133664 
GREENVILLE ,SOUTH CAROLINA ,29607 ,GREENVILLE ,"WINTEK SOLUTIONS, INC. ",I-200-16287-532179 
HERCULES ,CALIFORNIA ,94547 ,CONTRA COSTA ,"WINTEK SOLUTIONS, INC. ",I-200-16286-793599 
ENFIELD ,CONNECTICUT ,06082 ,HARTFORD ,"WINTEK SOLUTIONS, INC. ",I-200-16201-573439 
ST.LOUIS ,MISSOURI ,63144 ,ST.LOUIS ,"WINTEK SOLUTIONS, INC. ",I-200-16196-537489 
ATLANTA ,GEORGIA ,30328 ,FULTON ,"WINTEK SOLUTIONS, INC. ",I-200-16195-837342 
SOUTH WINDSOR ,CONNECTICUT ,06074 ,HARTFORD ,"WINTEK SOLUTIONS, INC. ",I-200-16193-979022 
PLYMOUTH ,MINNESOTA ,55441 ,HENNEPIN ,"WINTEK SOLUTIONS, INC. ",I-200-16193-378368 
NEW YORK ,NEW YORK ,10017 ,NEW YORK ,"WINTEK SOLUTIONS, INC. ",I-200-16193-204784 
KALAMAZOO ,MICHIGAN ,49001 ,KALAMAZOO ,HOWMEDICA OSTEONICS CORPORATION D/B/A STRYKER ORTHOPAEDICS ,I-200-16286-796450 
MAHWAH ,NEW JERSEY ,07430 ,BERGEN ,HOWMEDICA OSTEONICS CORPORATION D/B/A STRYKER ORTHOPAEDICS ,I-200-16264-618135 
DAYTON ,NEW JERSEY ,08810 ,MIDDLESEX ,GUARDIAN DRUG COMPANY ,I-200-16103-995569 
BYHALIA ,MISSISSIPPI ,38611 ,MARSHALL ,HALCYON REHABILITATION LLC ,I-200-16288-548767 
BYHALIA ,MISSISSIPPI ,38611 ,MARSHALL ,HALCYON REHABILITATION LLC ,I-200-16286-797850 
LEAWOOD ,KANSAS ,66211 ,JOHNSON ,"AMERICAN MULTI-CINEMA, INC. ",I-200-16327-048022 
LEAWOOD ,KANSAS ,66211 ,JOHNSON ,"AMERICAN MULTI-CINEMA, INC. ",I-200-16316-343193 
LEAWOOD ,KANSAS ,66211 ,JOHNSON ,"AMERICAN MULTI-CINEMA, INC. ",I-200-16308-926239 
LEAWOOD ,KANSAS ,66211 ,JOHNSON ,"AMERICAN MULTI-CINEMA, INC. ",I-200-16291-865116 
LEAWOOD ,KANSAS ,66211 ,JOHNSON ,"AMERICAN MULTI-CINEMA, INC. ",I-200-16286-798440 
BELLAIRE ,TEXAS ,77401 ,HARRIS ,"EPM ARCHITECTS, INC ",I-200-16286-804418 
AUSTIN ,TEXAS ,78759 ,TRAVIS ,TECHMAGIX INC ,I-200-16356-212016 
IRVING ,TEXAS ,75039 ,DALLAS ,TECHMAGIX INC ,I-200-16336-393955 
LIVINGSTON ,NEW JERSEY ,07039 ,ESSEX ,TECHMAGIX INC ,I-200-16286-806795 
IRVING ,TEXAS ,75039 ,DALLAS ,TECHMAGIX INC ,I-200-16208-689539 
MINNEAPOLIS ,MINNESOTA ,55401 ,HENNEPIN ,FRWD CO. ,I-200-16286-807664 
MESA ,ARIZONA ,85204 ,MARICOPA ,"A-1 TECHNOLOGY, INC. ",I-200-16286-809361 
NEW YORK ,NEW YORK ,10036 ,NEW YORK ,"A-1 TECHNOLOGY, INC. ",I-200-16169-949960 
MESA ,ARIZONA ,85204 ,MARICOPA ,"A-1 TECHNOLOGY, INC. ",I-200-16167-477131 
BOSTON ,MASSACHUSETTS ,02114 ,SUFFOLK ,MASSACHUSETTS EYE AND EAR ASSOCIATES INC. ,I-200-16342-887857 
BOSTON ,MASSACHUSETTS ,02114 ,SUFFOLK ,MASSACHUSETTS EYE AND EAR ASSOCIATES INC. ,I-200-16294-977165 
BOSTON ,MASSACHUSETTS ,02114 ,SUFFOLK ,MASSACHUSETTS EYE AND EAR ASSOCIATES INC. ,I-200-16286-816011 
BOSTON ,MASSACHUSETTS ,02114 ,MA ,MASSACHUSETTS EYE AND EAR ASSOCIATES INC. ,I-200-16257-101908 
SAN FRANCISCO ,CALIFORNIA ,94105 ,SAN FRANCISCO ,"EBAY MOBILE LABS, INC. ",I-200-16302-485220 
GLEN ALLEN ,VIRGINIA ,23060 ,HENRICO ,DIGIBLITZ ENTERPRISE SOLUTIONS INC ,I-200-16314-230799 
STERLING ,VIRGINIA ,20171 ,LOUDOUN ,DIGIBLITZ ENTERPRISE SOLUTIONS INC ,I-200-16286-818256 
KATY ,TEXAS ,77450 ,HARRIS ,MPOWERTECH INC. ,I-200-16316-896129 
KATY ,TEXAS ,77450 ,HARRIS ,MPOWERTECH INC. ,I-200-16286-820381 
TULSA ,OKLAHOMA ,74103 ,TULSA ,"ONE GAS, INC. ",I-200-16286-830830 
WEST CHESTER ,PENNSYLVANIA ,19380 ,CHESTER ,"JOHNSON MATTHEY, INC. ",I-200-16286-836473 
DEVENS ,MASSACHUSETTS ,01434 ,MIDDLESEX ,JOHNSON MATTHEY PHARMACEUTICAL SERVICES ,I-200-16174-331272 
SAN JOSE ,CALIFORNIA ,95117 ,SANTA CLARA ,"JOHNSON MATTHEY, INC. ",I-200-16140-787555 
TAYLOR ,MICHIGAN ,48180 ,WAYNE ,"JOHNSON MATTHEY, INC. ",I-200-16103-619192 
ATLANTA ,GEORGIA ,30341 ,DEKALB ,"CVENT, INC. ",I-200-16327-800028 
AUSTIN ,TEXAS ,78704 ,TRAVIS ,"CVENT, INC. ",I-200-16313-453975 
AUBURN HILLS ,MICHIGAN ,48326 ,OAKLAND ,ORANGE INFORMATION TECHNOLOGY SOLUTIONS ,I-200-16286-845886 
GREENVILLE ,SOUTH CAROLINA ,29615 ,GREENVILLE ,ORANGE INFORMATION TECHNOLOGY SOLUTIONS ,I-200-16204-905155 
SAN DIEGO ,CALIFORNIA ,92123-1362 ,SAN DIEGO ,9TO9 SOFTWARE SOLUTIONS LLC ,I-200-16322-980086 
WESTERVILLE ,OHIO ,43081-8917 ,FRANKLIN ,9TO9 SOFTWARE SOLUTIONS LLC ,I-200-16309-070618 
TIMONIUM ,MARYLAND ,21093-2215 ,BALTIMORE ,9TO9 SOFTWARE SOLUTIONS LLC ,I-200-16307-554344 
LA VISTA ,NEBRASKA ,68128-8204 ,SARPY ,9TO9 SOFTWARE SOLUTIONS LLC ,I-200-16292-908790 
CHESTERFIELD ,MISSOURI ,63005-1138 ,SAINT LOUIS ,9TO9 SOFTWARE SOLUTIONS LLC ,I-200-16286-845923 
MECHANICSBURG ,PENNSYLVANIA ,17050-8507 ,CUMBERLAND ,9TO9 SOFTWARE SOLUTIONS LLC ,I-200-16236-772616 
