city,state,zipcode,county,employer_name,case_number
HOULTON ,MAINE ,04730 ,AROOSTOOK ,M.S.A.D. #29 ,I-200-16295-508990 
SAN BRUNO ,CALIFORNIA ,94066 ,SAN MATEO ,PI INC. ,I-200-16306-036930 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,KRIPI INC ,I-200-16204-207243 
NEW HAVEN ,CONNECTICUT ,06513 ,CONNECTICUT ,"NEW HAVEN FAMILY DENTAL, LLC ",I-200-16337-623313 
NEW HAVEN ,CONNECTICUT ,06513 ,CONNECTICUT ,"NEW HAVEN FAMILY DENTAL, LLC ",I-200-16337-462895 
HAVERHILL ,CONNECTICUT ,01830 ,ESSEX ,"MAVERICK FAMILY DENTAL, P.C. ",I-200-16322-825758 
HAVERHILL ,CONNECTICUT ,01830 ,ESSEX ,"MAVERICK FAMILY DENTAL, P.C. ",I-200-16308-623413 
ENFIELD ,CONNECTICUT ,06082 ,HARTFORD ,"MAVERICK FAMILY DENTAL, P.C. ",I-200-16298-354872 
COLUMBIA ,SOUTH CAROLINA ,29204 ,RICHLAND ,FAMILY DENTAL LLC ,I-200-16295-516784 
FLEMINGTON ,NEW JERSEY ,08822 ,HUNTERDON ,"HUNTERDON FAMILY DENTAL, PA ",I-200-16257-358601 
WAYNE ,MICHIGAN ,48184 ,WAYNE ,WAYNE FAMILY DENTAL ,I-200-16256-485549 
NEW YORK ,NEW YORK ,10011 ,NEW YORK ,INNOVACCER INC. ,I-200-16314-225079 
MILLERSVILLE ,MARYLAND ,21108 ,ANNE ARUNDEL ,UNIVERSITY OF MARYLAND COMMUNITY MEDICAL GROUP ,I-200-16228-748857 
BALTIMORE ,MARYLAND ,21201 ,BALTIMORE CITY ,UNIVERSITY OF MARYLAND COMMUNITY MEDICAL GROUP ,I-200-16235-654777 
BOSTON ,MASSACHUSETTS ,02108 ,SUFFOLK ,"NUTRACLICK, LLC ",I-200-16308-307937 
