city,state,zipcode,county,employer_name,case_number
ZUNI ,NEW MEXICO ,87327 ,MCKINLEY ,ZUNI PUBLIC SCHOOL DISTRICT #89 ,I-200-16308-023485 
ZUNI ,NEW MEXICO ,87327 ,MCKINLEY ,ZUNI PUBLIC SCHOOL DISTRICT #89 ,I-200-16266-070329 
ZUNI ,NEW MEXICO ,87327 ,MCKINLEY ,ZUNI PUBLIC SCHOOL DISTRICT #89 ,I-200-16263-048998 
IRVINE ,CALIFORNIA ,92606 ,ORANGE ,YOGI SOFTWARE TECHNOLOGY INC. ,I-200-16308-023845 
ANDOVER ,MASSACHUSETTS ,01810 ,ESSEX ,SCHNEIDER ELECTRIC IT AMERICA CORP. ,I-200-16308-025539 
ANDOVER ,MASSACHUSETTS ,01810 ,ESSEX ,SCHNEIDER ELECTRIC IT AMERICA CORP. ,I-200-16148-177584 
TEMPE ,ARIZONA ,85281 ,MARICOPA ,"KBR GLOBAL IT SOLUTIONS, LLC ",I-200-16308-026948 
INDIANAPOLIS ,INDIANA ,46225 ,MARION ,TERADYNE INFOTECH ,I-200-16356-357254 
SAN RAMON ,CALIFORNIA ,94583 ,CONTRA COSTA ,TERADYNE INFOTECH ,I-200-16356-091748 
MCLEAN ,VIRGINIA ,22102 ,FAIRFAX ,TERADYNE INFOTECH ,I-200-16356-137599 
CHARLOTTE ,NORTH CAROLINA ,28285 ,MECKLENBURG ,TERADYNE INFOTECH ,I-200-16356-567507 
CHARLOTTE ,NORTH CAROLINA ,28262 ,MECKLENBURG ,TERADYNE INFOTECH ,I-200-16356-509378 
PALO ALTO ,CALIFORNIA ,94304 ,SANTA CLARA COUNTY ,TERADYNE INFOTECH ,I-200-16335-742429 
PLEASANTON ,CALIFORNIA ,94588 ,ALAMEDA ,TERADYNE INFOTECH ,I-200-16333-461644 
MALVERN ,PENNSYLVANIA ,19355 ,CHESTER ,TERADYNE INFOTECH ,I-200-16320-926589 
MINNEAPOLIS ,MINNESOTA ,55416 ,HENNEPIN ,TERADYNE INFOTECH ,I-200-16313-898238 
SAN JOSE ,CALIFORNIA ,95134 ,SANTA CLARA ,TERADYNE INFOTECH ,I-200-16312-546941 
ALPHARETTA ,GEORGIA ,30004 ,FULTON ,TERADYNE INFOTECH ,I-200-16308-032357 
PHILADELPHIA ,PENNSYLVANIA ,19103 ,PHILADELPHIA ,TERADYNE INFOTECH ,I-200-16267-301257 
PORTLAND ,OREGON ,97217 ,WASHINGTON ,TERADYNE INFOTECH ,I-200-16267-247240 
OVERLAND PARK ,KANSAS ,66251 ,JOHNSON ,TERADYNE INFOTECH ,I-200-16267-240590 
RALEIGH ,NORTH CAROLINA ,27616 ,WAKE COUNTY ,AZZUR GROUP LLC ,I-200-16309-365059 
CLAYTON ,NORTH CAROLINA ,27527 ,CLAYTON ,AZZUR GROUP LLC ,I-200-16308-688464 
GREENSBORO ,NORTH CAROLINA ,27834 ,GREENSBORO ,AZZUR GROUP LLC ,I-200-16308-976705 
DURHAM ,NORTH CAROLINA ,27709 ,DURHAM ,AZZUR GROUP LLC ,I-200-16308-046178 
DURHAM ,NORTH CAROLINA ,27712 ,DURHAM ,AZZUR GROUP LLC ,I-200-16308-857421 
IRVING ,TEXAS ,75063 ,DALLAS ,VIVID EDGE CORP. ,I-200-16344-772864 
IRVING ,TEXAS ,75063 ,DALLAS ,VIVID EDGE CORP. ,I-200-16308-049302 
REDWOOD CITY ,CALIFORNIA ,94063 ,SAN MATEO ,"ANOMALI, INC. ",I-200-16308-050732 
NEW YORK ,NEW YORK ,10010 ,NEW YORK ,WILLIAM MORRIS ENDEAVOR ENTERTAINMENT LLC ,I-200-16341-334672 
SAN CARLOS ,CALIFORNIA ,94070 ,SAN MATEO ,MORRISON & FOERSTER LLP ,I-200-16335-295732 
TOWNSON ,MARYLAND ,21286 ,BALTIMORE ,"MORRIS & RITCHIE ASSOCIATES, INC. ",I-200-16313-658789 
MIAMI ,FLORIDA ,33131 ,MIAMI-DADE ,"MORRISON, BROWN, ARGIZ & FARRA, LLC ",I-200-16287-553170 
DALLAS ,TEXAS ,75235 ,DALLAS ,MORRIS & WILLNER PARTNERS INC. ,I-200-16286-587088 
BOSTON ,MASSACHUSETTS ,02110-1724 ,SUFFOLK ,DUANE MORRIS LLP ,I-200-16270-953076 
NEW YORK ,NEW YORK ,10036-4086 ,NEW YORK ,DUANE MORRIS LLP ,I-200-16235-379985 
