city,state,zipcode,county,employer_name,case_number
SAN FRANCISCO ,CALIFORNIA ,94546 ,SAN FRANCISCO ,FUNDTECH CORPORATION ,I-200-16333-394693 
BURLINGTON ,MASSACHUSETTS ,01803 ,MIDDLESEX ,FUNDTECH CORPORATION ,I-200-16302-281839 
NEW YORK ,NEW YORK ,10005 ,NY ,FUNDTECH CORPORATION ,I-200-16229-671524 
INDIANAPOLIS ,INDIANA ,46204 ,MARION ,INDIANA UNIVERSITY HEALTH INC ,I-200-16306-244427 
INDIANAPOLIS ,INDIANA ,46219 ,MARION ,INDIANA UNIVERSITY HEALTH INC ,I-200-16301-671203 
MUNCIE ,INDIANA ,47303 ,DELAWARE ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16267-856480 
ANDERSON ,INDIANA ,46011 ,MADISON ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16256-175815 
WINCHESTER ,INDIANA ,47394 ,RANDOLPH ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16256-175818 
DALEVILLE ,INDIANA ,47334 ,DELAWARE ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16256-035836 
MUNCIE ,INDIANA ,47303 ,DELAWARE ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16256-009625 
MUNCIE ,INDIANA ,47304 ,DELAWARE ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16256-048733 
MUNCIE ,INDIANA ,47303 ,DELAWARE ,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC. ",I-200-16256-786539 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"DUFFY & CO., CPAS, INC. ",I-200-16313-549980 
SAN FRANCISO ,CALIFORNIA ,94104 ,SAN FRANCISCO ,"DUFF & PHELPS, LLC ",I-200-16281-206385 
SANTA BARBARA ,CALIFORNIA ,93106 ,SANTA BARBARA ,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA ,I-200-16323-169374 
SANTA BARBARA ,CALIFORNIA ,93106 ,SANTA BARBARA ,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA ,I-200-16323-372806 
SANTA BARBARA ,CALIFORNIA ,93106 ,SANTA BARBARA ,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA ,I-200-16314-239714 
SANTA BARBARA ,CALIFORNIA ,93106 ,SANTA BARBARA ,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA ,I-200-16302-497115 
